"Priority","Team","year target","month target","day target","week target","","","","","","","","","","","","","","","","","",""
"5%","Outsource","750,000","62,500","2,100","14,700","","","","","","","","","","","","","","","","","",""
"7%","Channel","1,050,000","87,500","2,900","20,300","","","","","","","","","","","","","","","","","",""
"7%","รายการเศรษฐกิจ","1,050,000","87,500","2,900","20,300","","","","","","","","","","","","","","","","","",""
"7%","Wealth","1,050,000","87,500","2,900","20,300","","","","","","","","","","","","","","","","","",""
"7%","Health","1,050,000","87,500","2,900","20,300","","","","","","","","","","","","","","","","","",""
"7%","Earth","1,050,000","87,500","2,900","20,300","","","","","","","","","","","","","","","","","",""
"8%","Online Original","1,200,000","100,000","3,300","23,100","","","","","","","","","","","","","","","","","",""
"8%","World","1,200,000","100,000","3,300","23,100","","","","","","","","","","","","","","","","","",""
"8%","Tech","1,200,000","100,000","3,300","23,100","","","","","","","","","","","","","","","","","",""
"36%","Online Web","5,400,000","450,000","14,800","103,600","","","","","","","","","","","","","","","","","",""
"100%","","15,000,000","1,250,000","41,300","289,100","","","","","","","","","","","","","","","","","",""
"","","15,000,000","1,250,000","41,096","288,462","","","","","","","","","","","","","","","","","",""
"","","","15,000,000","15,074,500","15,033,200","","","","","","","","","","","","","","","","","",""
